victory_status,opening_code,opening_name,rating_gap_class
Out of Time,D10,Slav Defense,>250
Resign,B00,Nimzowitsch Defense,51-100
Mate,C20,King's Pawn Game,0-50
Mate,D02,Queen's Pawn Game,0-50
Mate,C41,Philidor Defense,51-100
Draw,B27,Sicilian Defense,201-250
Resign,D00,Blackmar-Diemer Gambit,51-100
Resign,B00,Nimzowitsch Defense,>250
Resign,C50,Italian Game,0-50
Mate,B01,Scandinavian Defense,151-200
Mate,A00,Van't Kruijs Opening,101-150
Resign,C02,French Defense,>250
Resign,C00,French Defense,>250
Resign,C00,French Defense,201-250
Mate,C50,Four Knights Game,0-50
Resign,C57,Italian Game,0-50
Resign,C50,Four Knights Game,0-50
Mate,C50,Four Knights Game,0-50
Resign,C41,Philidor Defense,201-250
Resign,D00,Queen's Pawn Game,>250
Resign,C55,Italian Game,>250
Resign,A40,Horwitz Defense,0-50
Resign,B20,Sicilian Defense,>250
Resign,A25,English Opening,201-250
Resign,B21,Sicilian Defense,>250
Mate,D01,Queen's Pawn Game,101-150
Resign,C45,Scotch Game,>250
Mate,D01,Queen's Pawn Game,>250
Resign,D10,Slav Defense,51-100
Mate,D06,Queen's Gambit,51-100
Resign,B21,Sicilian Defense,>250
Mate,B52,Sicilian Defense,151-200
Resign,B27,Sicilian Defense,151-200
Resign,D20,Queen's Gambit,>250
Resign,B20,Sicilian Defense,>250
Resign,B06,Robatsch (Modern) Defense,>250
Resign,D00,Blackmar-Diemer Gambit,>250
Resign,A45,Indian Game,>250
Resign,B77,Sicilian Defense,>250
Resign,A21,English Opening,>250
Draw,B70,Sicilian Defense,201-250
Resign,B23,Sicilian Defense,>250
Resign,B21,Sicilian Defense,>250
Resign,B76,Sicilian Defense,>250
Resign,B21,Sicilian Defense,>250
Resign,B20,Sicilian Defense,>250
Resign,B01,Scandinavian Defense,>250
Resign,B20,Sicilian Defense,>250
Mate,B77,Sicilian Defense,>250
Mate,B01,Scandinavian Defense,>250
Resign,C00,French Defense,>250
Resign,C21,King's Pawn Game,>250
Mate,A80,Dutch Defense,>250
Resign,A20,English Opening,>250
Resign,A04,Zukertort Opening,>250
Resign,B23,Sicilian Defense,51-100
Resign,C26,Vienna Game,0-50
Resign,C41,Philidor Defense,0-50
Resign,C44,Scotch Game,151-200
Resign,C41,Philidor Defense,51-100
Resign,C00,French Defense,>250
Resign,A40,Modern Defense,0-50
