turns,winner,white_rating,black_rating,opening_moves,rating_gap,higher_rated_victory
13,2,1500,1191,5,309,1
16,1,1322,1261,4,61,0
61,2,1496,1500,3,4,0
61,2,1439,1454,3,15,0
95,2,1523,1469,5,54,1
5,0,1250,1002,4,248,0
33,2,1520,1423,10,97,1
9,1,1413,2108,5,695,1
66,1,1439,1392,6,47,0
119,2,1381,1209,4,172,1
39,2,1381,1272,1,109,1
38,1,1381,1867,9,486,1
60,1,1381,1936,3,555,1
31,1,1381,1607,2,226,1
31,2,1094,1141,8,47,0
43,1,1141,1094,7,47,0
52,1,1094,1141,8,47,1
66,1,1141,1094,8,47,0
101,1,1094,1300,5,206,1
25,2,1500,1094,2,406,1
14,1,1094,1676,6,582,1
3,2,1094,1068,2,26,1
17,2,1500,1094,3,406,1
36,2,1307,1106,4,201,1
13,1,1113,1423,3,310,1
69,2,1078,1219,4,141,0
43,2,1825,1079,8,746,1
54,1,1328,1038,4,290,0
53,1,1056,1156,4,100,1
66,1,1077,1148,4,71,1
64,1,1358,1036,3,322,0
64,1,1200,1002,6,198,0
54,2,1203,1019,3,184,1
21,1,1019,1500,6,481,1
11,2,1422,975,3,447,1
19,1,976,1832,4,856,1
28,2,1569,978,10,591,1
22,1,978,1500,2,522,1
37,2,1500,978,17,522,1
34,2,2449,978,3,1471,1
32,0,1207,978,10,229,0
71,1,1241,978,3,263,0
30,2,1500,978,3,522,1
66,2,2443,978,17,1465,1
41,2,1500,978,3,522,1
49,2,1500,978,3,522,1
3,1,978,1500,2,522,1
7,2,1343,978,3,365,1
35,2,2436,978,17,1458,1
41,2,2436,978,4,1458,1
5,1,978,1500,3,522,1
7,2,1500,978,4,522,1
53,2,978,1500,2,522,0
36,1,1500,978,2,522,0
8,2,1521,1162,2,359,1
3,2,1407,1500,3,93,0
28,2,1492,1458,5,34,1
30,1,1414,1442,8,28,1
44,1,1457,1294,5,163,0
29,2,1525,1466,6,59,1
37,1,1207,1579,3,372,1
49,2,1567,1573,2,6,0
32,1,1578,1605,2,27,1
25,2,1939,1581,6,358,1
40,1,1618,1568,2,50,0
39,2,1755,1574,2,181,1
57,2,1561,1596,2,35,0
78,1,1500,1554,3,54,1
61,2,1544,1461,3,83,1
44,1,1563,1335,3,228,0
62,1,1579,1470,2,109,0
87,2,1617,1590,2,27,1
54,1,1207,1588,7,381,1
54,1,1595,1547,3,48,0
37,2,1855,1599,5,256,1
50,2,1589,1547,2,42,1
131,2,1571,1728,5,157,0
48,2,1720,1579,3,141,1
47,1,1579,2105,5,526,1
64,1,1768,1560,3,208,0
61,2,1552,1436,3,116,1
57,2,1536,1667,5,131,0
51,2,1521,1549,2,28,0
58,1,1251,1545,3,294,1
71,2,1537,1408,3,129,1
114,2,1522,1512,1,10,1
39,2,1602,1532,11,70,1
20,1,1543,1593,5,50,1
48,1,1556,1539,3,17,0
34,1,1409,1548,3,139,1
51,2,1539,1418,5,121,1
69,2,1603,1550,3,53,1
28,2,1542,1399,4,143,1
62,1,1546,1877,5,331,1
62,1,1134,1535,4,401,1
85,2,1513,1784,2,271,0
38,2,1501,1445,5,56,1
14,2,1500,1500,8,0,0
113,0,1745,1714,4,31,0
